users, active, running, startup, spawn, first_users, second_users
10,0,0,0.06698004202917218,0.03151172597426921,0.02730201103258878,0.010804331977851689
10,0.1,1,0.06776942498981953,0.03299376298673451,0.02667373395524919,0.011023491970263422
10,0.25,2,0.07030247407965362,0.03559262107592076,0.026158506982028484,0.010821764008142054
10,0.5,5,0.07177368202246726,0.036449378938414156,0.026255864999257028,0.01091094990260899
10,1,10,0.07622979104053229,0.040171478991396725,0.026485660928301513,0.011162107926793396
50,0,0,0.19525465602055192,0.15966929006390274,0.06179610500112176,0.01198778091929853
50,0.1,5,0.204344579949975,0.1682904320769012,0.0618648580275476,0.012732830946333706
50,0.25,12,0.29834632703568786,0.18927801901008934,0.06166063994169235,0.01272720203269273
50,0.5,25,0.21661347895860672,0.1816835190402344,0.06211499101482332,0.012577841058373451
50,1,50,0.22753342695068568,0.19257947197183967,0.0628867429913953,0.012600257061421871
100,0,0,0.3921295040054247,0.3537817900069058,0.11707339796703309,0.013873365009203553
100,0.1,10,0.3910146990092471,0.35402035200968385,0.10617400298360735,0.014007322024554014
100,0.25,25,0.4002913509029895,0.3644443009980023,0.10530998802278191,0.014740791986696422
100,0.5,50,0.42106018390040845,0.3847421689424664,0.10777650307863951,0.013782888068817556
100,1,100,0.48209230694919825,0.4478703949134797,0.10831488098483533,0.01354070205707103
500,0,0,2.852979755960405,2.810983360046521,0.5638853840064257,0.04517639603000134
500,0.1,50,3.269974310998805,3.228104935027659,0.5142430459382012,0.030371903907507658
500,0.25,125,2.93089871306438,2.863759065978229,0.4809927010210231,0.02711741894017905
500,0.5,250,3.022911437903531,2.9793919160729274,0.48044800490606576,0.0279482799815014
500,1,500,3.490746579016559,3.4494794090278447,0.47131212905514985,0.028237266931682825
1000,0,0,7.841962966020219,7.792869700002484,0.9281590320169926,0.044320374028757215
1000,0.1,100,7.895392119884491,7.8472361320164055,0.9263899850193411,0.04535938799381256
1000,0.25,250,8.076814783969894,8.029456201009452,0.9031269180122763,0.046293375082314014
1000,0.5,500,8.807843239046633,8.729144248994999,0.9313625539653003,0.04375018295831978
1000,1,1000,9.88600244000554,9.816593614057638,1.0141237819334492,0.04632614797446877
2000,0,0,25.019898338941857,24.915484426892363,1.8643454810371622,0.07980008400045335
2000,0.1,200,25.604717609938234,25.539019303047098,1.8145237769931555,0.07712431391701102
2000,0.25,500,26.687982970965095,26.609655739041045,1.867442638031207,0.07805392995942384
2000,0.5,1000,28.76517823000904,28.628157414961606,1.9073953579645604,0.08645817800424993
2000,1,2000,31.28006697096862,31.087539582978934,1.9275707310298458,0.08076852897647768
5000,0,0,131.68418733996805,131.52252947201487,4.856948002940044,0.24398854898754507
5000,0.1,500,140.64398346096277,140.4755804449087,4.658749622991309,0.18376635003369302
5000,0.25,1250,142.94498158502392,142.78410103498027,4.559982798062265,0.1836553260218352
