users,active,running,startup,spawn,first_users,second_users
10,0,0,0.05275718600023538,0.0015176950000750367,0.01504085999840754,0.014186612999765202
10,0.25,2,0.05080843199903029,0.006091710001783213,0.01455921199885779,0.014975961999880383
10,1,10,0.07100638799965964,0.020164592999208253,0.015012398001999827,0.011837132002256112
50,0,0,0.05043854600080522,0.0016946510004345328,0.03302728400012711,0.031891303002339555
50,0.25,12,0.09337259899984929,0.03183289400112699,0.03255367100064177,0.02727565899840556
50,1,50,0.16847606000010273,0.08264882000003126,0.03220656699704705,0.019139346997690154
100,0,0,0.08148301999972318,0.00177658699976746,0.053310749997763196,0.05270163500244962
100,0.25,25,0.14807441599987214,0.06292907800161629,0.05381739699805621,0.04384265900080209
100,1,100,0.31669130000227597,0.17868218299918226,0.05549632899783319,0.025742840000020806
500,0,0,0.11794256099892664,0.0016493309994984884,0.24512637600128073,0.22155213199948776
500,0.25,125,0.5517813139995269,0.3047433430001547,0.22847532100058743,0.1829513720003888
500,1,500,1.3079091210020124,0.8262050459998136,0.24757448699892848,0.10415673899842659
1000,0,0,0.36996160199851147,0.001998578001803253,0.431183738000982,0.4465067569981329
1000,0.25,250,0.9985150930006057,0.5892446390025725,0.4550428059992555,0.35197151000102167
1000,1,1000,2.6155137040004774,1.6355390499993518,0.4583951420027006,0.19641828600288136
2000,0,0,0.6738504429995373,0.0018172180025430862,0.8763356560011744,0.8523239790010848
2000,0.25,500,1.9797864569991361,1.2116687179986911,0.9165753139968729,0.730076239000482
2000,1,2000,5.3889025330026925,3.5101605339987145,0.9042690620008216,0.380339515999367
5000,0,0,1.3745312209975964,0.0021118010008649435,2.169773952999094,2.19091526199918
5000,0.25,1250,5.342636538996885,3.3894467579993943,2.29394531700018,1.7552298699993116
5000,1,5000,14.672411847001058,10.009506941001746,2.343509931000881,0.8927739760001714
