users,active,running,startup,spawn,first_users,second_users
10,0,0,0.16337620800186414,0.0030355829949257895,0.08013825000671204,0.0065605420095380396
10,0.25,2,0.17084104199602734,0.02024941600393504,0.07273420799174346,0.006606583003303967
10,1,10,0.19736379200185183,0.04427166700770613,0.05900983398896642,0.00680987500527408
50,0,0,0.2787695419974625,0.003022167002200149,0.4560892920126207,0.021598624996840954
50,0.25,12,0.3628310420026537,0.08899074999499135,0.390873249998549,0.019566125003620982
50,1,50,0.5347516249894397,0.2605302500014659,0.2697232499922393,0.02312950001214631
100,0,0,0.47831387499172706,0.005115125008160248,0.8944356249994598,0.035351707992958836
100,0.25,25,0.6798284169926774,0.19602545800444204,0.8248626249987865,0.03552054199099075
100,1,100,1.0612520840077195,0.5713227500091307,0.5993750829948112,0.03323300000920426
500,0,0,2.351327416996355,0.004193708999082446,4.652474750007968,0.11812295799609274
500,0.25,125,3.1756580829969607,0.8039293750043726,4.219576082992717,0.1284734579967335
500,1,500,4.866028958000243,2.5999868330109166,3.1551148330036085,0.12467320899304468
1000,0,0,4.598782417000621,0.004216416011331603,9.442848708000383,0.22355208299995866
1000,0.25,250,6.417546416996629,1.741218208000646,8.599853583000368,0.22458829199604224
1000,1,1000,9.578765416998067,4.972187874998781,6.591749625004013,0.2280084160011029
2000,0,0,9.183124957999098,0.003950832993723452,19.3842599579948,0.40130099999078084
2000,0.25,500,12.757373541011475,3.6378748749993974,17.449387624990777,0.40434866600844543
2000,1,2000,19.610845957999118,10.435888334002811,10.46145787498972,0.38381220800511073
5000,0,0,20.8714197500085,0.004117000004043803,47.2025169999979,1.4860978750075446
5000,0.25,1250,30.896909667004365,9.378547625005012,43.738452249992406,1.3378782920044614
5000,1,5000,49.23845600000641,26.894006916991202,32.66104841600463,1.4659787499986123
