users,active,running,startup,spawn,first_users,second_users
10,0,0,0.05316510500051663,0.0014888850018905941,0.014863512002193602,0.014253543999075191
10,0.25,2,0.05524446799972793,0.009200779000821058,0.014958297000703169,0.013798354000755353
10,1,10,0.07323587599967141,0.019963536000432214,0.01520224399791914,0.011931684002775
50,0,0,0.05235911300042062,0.0017387900006724522,0.032826599999680184,0.03170038600001135
50,0.25,12,0.09862641300060204,0.0349746009997034,0.032092866000311915,0.026938282000628533
50,1,50,0.18242003799969098,0.09629119999954128,0.03318521400069585,0.01934031800192315
100,0,0,0.08070541799679631,0.0016737219993956387,0.05381412499991711,0.05285203099992941
100,0.25,25,0.13906281500021578,0.05945120799879078,0.053938924000249244,0.04627886399975978
100,1,100,0.31547335700088297,0.17392099300195696,0.05655039299745113,0.029676070000277832
500,0,0,0.1163408869979321,0.0017898349979077466,0.24818807699921308,0.2278623370002606
500,0.25,125,0.5999021889983851,0.3541476899990812,0.23155052400034037,0.18086490200221306
500,1,500,1.4060053930006688,0.9209589540005254,0.2509740099994815,0.10394026799986023
1000,0,0,0.3624261299992213,0.0016819880002003629,0.4378299519994471,0.4581675709996489
1000,0.25,250,1.0835714710010507,0.6624183150015597,0.471291014997405,0.35896903300090344
1000,1,1000,2.861289398999361,1.887001622999378,0.4659085610001057,0.19520881899734377
2000,0,0,0.8087452330000815,0.0018960980014526285,0.89410394999868,0.8821747450019757
2000,0.25,500,2.3079563450010028,1.4185278219993052,0.9385562899988145,0.741291247002664
2000,1,2000,6.073566276998463,4.041268049997598,0.9283692999997584,0.42325360999893746
5000,0,0,1.497561559001042,0.002087481003400171,2.2032537649974984,2.2265243729998474
5000,0.25,1250,5.821388012998796,3.750610909999523,2.2978870420010935,1.77585911999995
5000,1,5000,15.283161780000228,10.596376106997923,2.349641304001125,0.9257726019968686
