users,active,running,startup,spawn,first_users,second_users
10,0,0,0.0817199500015704,0.0070882859981793445,0.014981178002926754,0.009811627998715267
10,0.25,2,0.05008085300141829,0.013900832997023826,0.015076925003086217,0.009988384001189843
10,1,10,0.0544833310013928,0.017933736999111716,0.015357029998995131,0.010168348999286536
50,0,0,0.06472082899927045,0.02937687099984032,0.03162252800029819,0.010518117000174243
50,0.25,12,0.08636771099918406,0.049736757999198744,0.03344016399933025,0.011386185997253051
50,1,50,0.117719573998329,0.08104590400034795,0.031890596001176164,0.010913591999269556
100,0,0,0.09685945499950321,0.057472434997180244,0.05519504300173139,0.012225275000673719
100,0.25,25,0.12685302200043225,0.0909092830006557,0.05465867299790261,0.01240234800206963
100,1,100,0.3464947639986349,0.14866267799880006,0.054712794997612946,0.012545588997454615
500,0,0,0.3621597919991473,0.31844246100081364,0.2247802509991743,0.02147006599989254
500,0.25,125,0.5399446419978631,0.4957740919999196,0.23199867700168397,0.02184842899805517
500,1,500,0.8442360990011366,0.8003103990013187,0.2546015770021768,0.022793772997829365
1000,0,0,0.7302185730004567,0.6796930570017139,0.46328898499996285,0.033204282000951935
1000,0.25,250,1.0775811730018177,1.0275075379977352,0.4575573490001261,0.033976134000113234
1000,1,1000,1.6925803260019165,1.6413280710003164,0.45673112599979504,0.035681661996932235
2000,0,0,1.5891885880009795,1.5109029349987395,0.9144598940001742,0.05559639500279445
2000,0.25,500,2.2523401680009556,2.184705591000238,0.9226753959992493,0.060429140998166986
2000,1,2000,3.648150947999966,3.5667217139998684,0.9129680530022597,0.06264099600230111
5000,0,0,5.33682675000091,5.198978996999358,2.2270546139989165,0.12686333599776844
5000,0.25,1250,7.062367425998673,6.928895847002423,2.2775039249972906,0.13152628699754132
5000,1,5000,10.422615105999284,10.303346436998254,2.249153351000132,0.14787308399900212
