users,active,running,startup,spawn,first_users,second_users
10,0,0,0.13593258398759644,0.0031400000007124618,0.08246362500358373,0.007433292004861869
10,0.25,2,0.14415329101029783,0.02065145799133461,0.07626729100593366,0.008102874999167398
10,1,10,0.17187420799746178,0.046081584005150944,0.06280924999737181,0.007754833000944927
50,0,0,0.1342175410100026,0.003186125002685003,0.4436303330003284,0.030547084010322578
50,0.25,12,0.1830082910018973,0.06018337499699555,0.28022745900671,0.015077167001436464
50,1,50,0.31754879099025857,0.18511900000157766,0.33382458399864845,0.032396165988757275
100,0,0,0.13549412500287872,0.0031975419988157228,0.8698421669978416,0.05604633298935369
100,0.25,25,0.25454745900060516,0.12734154101053718,0.7912994999933289,0.048298333000275306
100,1,100,0.4276925000012852,0.30079475000093225,0.5617477499909,0.051967250008601695
500,0,0,0.14193616701231804,0.0030668330000480637,4.225826124995365,0.1574790419981582
500,0.25,125,0.9651874999981374,0.8239580420049606,3.7330706249922514,0.18698558300093282
500,1,500,2.4934765420039184,2.311080667001079,2.820266459006234,0.20117520799976774
1000,0,0,0.17618933301127981,0.0031545410020044073,8.670226792004541,0.14751624999917112
1000,0.25,250,1.979374958013068,1.807676292010001,8.090560334007023,0.14840900000126567
1000,1,1000,5.1558130829944275,4.9504548749973765,6.1574589160009054,0.30173841600480955
2000,0,0,0.23734666699601803,0.003260792000219226,18.4120352500031,0.602724374999525
2000,0.25,500,3.7129989589884644,3.506744540994987,16.30464433300949,0.5735209999984363
2000,1,2000,10.638816833990859,10.284974583002622,12.586075792001793,0.5857015420042444
5000,0,0,0.35521295900980476,0.003017583003384061,47.989415792006184,1.0744770000019344
5000,0.25,1250,9.027804457989987,8.707499541007564,42.63273987499997,1.4444725420034956
5000,1,5000,26.982488416993874,26.343119666998973,32.908204999999725,0.9239278750028461
