users,active,running,startup,first_check,second_check
10,0,0,0.0668862049933523,0.002473958011250943,0.0022505579981952906
10,0.25,2,0.06745916002546437,0.0023871119774412364,0.0022223359846975654
10,1,10,0.07763354299822822,0.0023128740140236914,0.002272621000884101
50,0,0,0.08962707899627276,0.0024843279970809817,0.0024275500036310405
50,0.25,12,0.11616386499372311,0.002382819977356121,0.00242083499324508
50,1,50,0.19083681399933994,0.002797857014229521,0.002734092005994171
100,0,0,0.14631863101385534,0.002311004005605355,0.0023444760008715093
100,0.25,25,0.1850253670127131,0.0027426019951235503,0.0026114360080100596
100,1,100,0.30952075400273316,0.003203107014996931,0.0030193310230970383
500,0,0,0.4729309710091911,0.002543833979871124,0.002486891986336559
500,0.25,125,0.8188538099930156,0.004226996999932453,0.004121270001633093
500,1,500,1.3881717640033457,0.0076405039872042835,0.00747402900015004
1000,0,0,1.0061182380013634,0.002796337998006493,0.0025569059944245964
1000,0.25,250,1.4598099779977929,0.006160627002827823,0.006005275005009025
1000,1,1000,2.6786415810056496,0.012829264014726505,0.012619115004781634
2000,0,0,2.2157390939828474,0.003396783984499052,0.0032129809842444956
2000,0.25,500,3.048065631010104,0.009989360987674445,0.009958440001355484
2000,1,2000,5.332321639027214,0.023256916989339516,0.02360648597823456
5000,0,0,6.5131797950016335,0.00467139802640304,0.004776814981596544
5000,0.25,1250,8.954060377000133,0.022006977989804,0.021623362001264468
5000,1,5000,14.760742243001005,0.05667555102263577,0.0556568710017018
