users,active,running,startup,first_check,second_check
10,0,0,0.10350426100194454,0.0036346319830045104,0.0033410059986636043
10,0.25,2,0.0768798089993652,0.0034008850052487105,0.0031404210021719337
10,1,10,0.14808073500171304,0.003220446000341326,0.0031045360083226115
50,0,0,0.19386243500048295,0.004158439987804741,0.0041505850094836205
50,0.25,12,0.20773577797808684,0.004141434008488432,0.0038103849801700562
50,1,50,0.249066472024424,0.0044390090042725205,0.004363926011137664
100,0,0,0.38583344299695455,0.0049616770120337605,0.004870119999395683
100,0.25,25,0.3990345540223643,0.005330004001734778,0.005112448998261243
100,1,100,0.4750158920069225,0.006167328014271334,0.005821589002152905
500,0,0,2.712081707024481,0.014056630025152117,0.013350159977562726
500,0.25,125,2.8762770160101354,0.01580712100258097,0.015664021018892527
500,1,500,3.392615819000639,0.01932357100304216,0.019152185996063054
1000,0,0,7.879063442989718,0.024774707009783015,0.024667727993801236
1000,0.25,250,8.53648327299743,0.028809230017941445,0.028900233010062948
1000,1,1000,9.817909868987044,0.03534278197912499,0.036848554998869076
2000,0,0,25.856331560993567,0.04674904001876712,0.04698001698125154
2000,0.25,500,27.696815634990344,0.05430340001475997,0.05388824999681674
2000,1,2000,32.222737437987234,0.06875593500444666,0.06912666201242246
5000,0,0,139.56421468299231,0.11455636998289265,0.11491984798340127
5000,0.25,1250,152.0637212060101,0.1345688579895068,0.13518489699345082
5000,1,5000,176.279792818008,0.17143938899971545,0.16973972800769843
